ID,RA,DEC,ZBEST
179,51.47158,-28.95033,0.066276
180,51.47237,-27.61725,0.0448
181,51.47463,-29.57314,0.136288
182,51.47517,-29.20367,0.252065
183,51.48262,-29.14125,0.172746
184,51.48342,-28.95231,0.066203
185,51.48708,-28.06978,0.088301
186,51.48837,-26.55,0.0816
187,51.48904,-28.67239,0.10955
188,51.489625,-28.0290277777778,0.13229000568389893
189,51.4897916666667,-27.9558333333333,1.1318199634552002
190,51.49083,-29.65011,0.148283
191,51.49767,-27.36258,0.131175
192,51.49796,-27.37706,0.229964
193,51.49912,-28.69981,0.106114
194,51.5027,-29.55694,0.044644
195,51.5039166666667,-28.0358888888889,0.25957000255584717
196,51.5070416666667,-28.1210833333333,0.5707799792289734
197,51.50804,-26.52678,0.0423
198,51.50808,-27.95711,0.132358
199,51.50946,-28.30169,0.0578
200,51.5097916666667,-28.1752777777778,2.080780029296875
201,51.51675,-27.9415,1.4987800121307373
202,51.51729,-27.68067,0.141305
203,51.51787,-28.32275,0.177351
204,51.51879,-26.77242,0.0426
205,51.52,-28.0543333333333,0.8104900121688843
206,51.52033,-28.58806,0.158037
207,51.52483,-27.78278,0.076147
208,51.53162,-28.71769,0.236554
209,51.534,-27.97675,0.5820900201797485
210,51.53429,-26.84278,0.089358
211,51.53433,-28.6945,0.107447
212,51.53508,-29.69461,0.177538
213,51.53658,-28.59072,0.156797
214,51.5370833333333,-28.1546388888889,0.49814000725746155
215,51.53833,-29.31444,0.136524
216,51.5384166666667,-28.1685833333333,0.8365600109100342
217,51.54098,-27.7298,0.076273
218,51.5425,-27.73983,0.076258
219,51.54421,-28.74275,0.234501
220,51.5444583333333,-28.1956111111111,0.8078500032424927
221,51.544875,-28.0219722222222,0.3171899914741516
222,51.54725,-27.66231,0.076968
223,51.54787,-27.73614,0.075505
224,51.5484583333333,-28.1993888888889,0.8079400062561035
225,51.54917,-26.97369,0.166613
226,51.54978,-28.58684,0.158039
227,51.5502083333333,-28.2338333333333,0.1603199988603592
228,51.5504583333333,-28.2479444444444,0.5462200045585632
229,51.55729,-28.59581,0.158234
230,51.55771,-28.66725,0.066363
231,51.55796,-27.28597,0.231495
232,51.55825,-28.60508,0.157355
233,51.55946,-28.86756,0.202088
234,51.56188,-28.51975,0.066029
235,51.564249999999994,-28.775222222222215,0.7107999920845032
236,51.56658,-26.74933,0.2548
237,51.568,-28.004088888888884,0.5295000076293945
238,51.56942,-29.42192,0.202247
239,51.57292,-28.69969,0.066703
240,51.57471,-28.32914,0.069728
241,51.57549999999999,-28.499666666666666,0.8596000075340271
242,51.5787083333333,-28.1783055555556,0.6180199980735779
243,51.58225,-26.54636,0.0818
244,51.5872083333333,-28.2139166666667,0.655460000038147
245,51.59041666666666,-28.77761111111111,0.328900009393692
246,51.59133,-27.92867,0.140834
247,51.59191666666666,-27.72348055555555,1.3870999813079834
248,51.59429,-26.69086,0.1194
249,51.59646,-26.5275,0.1443
250,51.59687,-26.93269,0.148808
251,51.5975416666667,-28.0029444444444,1.1310100555419922
252,51.59942,-26.57902,0.08181
253,51.6001666666667,-28.2796944444444,0.08472999930381775
254,51.60029,-28.55242,0.127261
255,51.60033,-26.50756,0.064738
256,51.60113,-27.54572,0.151003
257,51.6015,-26.64297,0.1444
258,51.602,-28.71906,0.066768
259,51.602625,-28.3967777777778,0.3223100006580353
260,51.60275,-27.9637222222222,0.2635500133037567
261,51.6037916666667,-28.2238333333333,0.8123999834060669
262,51.60408,-26.90453,0.102113
263,51.604125,-27.8156111111111,1.0180699825286865
264,51.60442,-27.45194,0.062042
265,51.6054166666667,-28.3572222222222,0.26583001017570496
