eco+res_name,radeg,dedeg,agn_name,agn_ra,agn_dec,separation
ECO05143,200.19,15.2591,NPM 1G+15.0402           ,200.189897,15.259107,0.35861414287866766
ECO06273,200.223,32.1908,IC 4227                  ,200.222845,32.190767,0.4869379619592158
ECO04035,200.346,0.3422,NGC 5104                 ,200.34621,0.342407,1.061526561479386
ECO04040,200.4,15.3217,CGCG 101-30              ,200.399851,15.321629000000001,0.5770328471920086
ECO07139,201.0,30.9323,PGC 214106               ,200.99981100000002,30.932422999999996,0.7325951934249422
ECO07651,201.118,4.7749,NPM 1G+05.0385           ,201.117664,4.774906,1.2055954956782122
ECO04074,201.21400000000003,13.7378,NGC 5136                 ,201.21419,13.737851000000001,0.6893326590852747
ECO11690,201.878,20.8809,UGC 8457                 ,201.87823999999998,20.880943,0.8219635541046932
ECO10505,202.083,10.9178,SDSS J132819.85+105504.0 ,202.082731,10.917800999999999,0.9508786950266678
ECO04118,202.372,11.6247,NGC 5178                 ,202.372123,11.624774,0.5089987983880438
ECO05171,202.858,11.0385,PGC 1388003              ,202.857733,11.038468,0.9504241214550547
ECO04145,203.02,17.0489,SDSS J133204.81+170256.2 ,203.02007,17.048967,0.34091446790880764
ECO04150,203.135,7.2942,NGC 5212                 ,203.134423,7.294206,2.060503048204915
ECO02484,203.181,18.1763,MCG 3-35-005             ,203.180707,18.176317,1.0040335927355086
ECO02580,203.482,18.3059,CGCG 102-18              ,203.482406,18.305903,1.3876750283115655
ECO04190,203.951,2.9992,NGC 5231                 ,203.951032,2.998928,0.9859347608184766
ECO04191,203.99400000000003,1.7297,UGC 8581                 ,203.994102,1.73006,1.346970291394128
ECO04195,204.088,3.3308,MCG 1-35-014             ,204.088281,3.330856,1.029816780660191
ECO04201,204.17,20.2003,UGC 8598                 ,204.169736,20.200146,1.050200346669064
ECO04211,204.347,3.8975,NGC 5245                 ,204.34681,3.8974260000000003,0.7325731577428578
ECO04227,204.68,31.2703,MCG 5-32-049             ,204.679749,31.270535,1.1455180461810994
ECO06378,204.769,2.1638,UGC 8634                 ,204.769112,2.163758,0.4303486173734132
ECO12117,205.389,32.4326,SDSS J134133.36+322557.4 ,205.389016,32.432629,0.11516443662678044
ECO04285,206.788,3.6439,CGCG 45-99               ,206.788488,3.643872,1.7561436201068037
ECO04314,207.65,33.705,NGC 5318                 ,207.650076,33.704829,0.6563303298349238
ECO04336,208.028,38.0669,SDSS J135206.67+380401.2 ,208.027801,38.067023999999996,0.7192954434023304
ECO04377,209.308,11.9975,MCG 2-36-002             ,209.307861,11.997501,0.48948283619806854
ECO04408,209.657,37.4256,NGC 5395                 ,209.65826299999998,37.424476,5.4232369038687365
ECO06449,210.486,9.5335,CGCG 74-48               ,210.486102,9.533499,0.3621464701277836
ECO12127,210.586,32.4482,MCG 6-31-049             ,210.585666,32.448168,1.0211963163132962
ECO04464,210.769,8.9475,CGCG 74-64               ,210.768581,8.947507,1.490257747094569
ECO04476,210.82,38.5303,UGC 8975                 ,210.81983599999998,38.530491999999995,0.8313056921711258
ECO04493,211.114,16.3036,MCG 3-36-038             ,211.114166,16.303673999999997,0.6324162801746114
ECO07940,211.294,11.7714,PGC 1398506              ,211.293311,11.77137,2.430636250380567
ECO11813,212.596,16.3359,UGC 9064                 ,212.59562599999998,16.335845000000003,1.307128255468693
ECO04560,212.673,13.5581,CGCG 74-129              ,212.672292,13.557996,2.5058992893111514
ECO04565,212.825,17.5064,UGC 9078                 ,212.82442700000001,17.506449,1.9751506414915727
ECO06709,214.158,40.2162,IRAS 14146+40260         ,214.157533,40.216319,1.3533782786896327
ECO04661,215.383,38.1183,CGCG 192-5               ,215.38297999999998,38.118429,0.4678418803318394
ECO04675,215.943,34.0169,UGC 9222                 ,215.943004,34.017002000000005,0.3673939334353104
ECO04755,218.166,36.3022,NGC 5675                 ,218.16611,36.30227,0.4066366353436169
ECO04766,218.959,36.5431,NGC 5684                 ,218.95899500000002,36.543232,0.47541999402417273
ECO04773,219.178,39.9436,MCG 7-30-034             ,219.17766699999999,39.9436,0.919092159802434
ECO04776,219.342,36.5678,NGC 5695                 ,219.34226,36.567855,0.7773883625795318
ECO08444,219.55,24.5251,PGC 1709416              ,219.549317,24.525119,2.2380111977385284
ECO04800,220.639,28.7264,NGC 5735                 ,220.63851,28.726454999999998,1.5595152944497042
ECO12194,223.387,24.0096,PGC 1697900              ,223.386819,24.009581,0.5991390575773238
ECO04829,223.594,28.9397,NGC 5780                 ,223.594448,28.939677000000003,1.413835573759174
ECO04830,223.632,24.0272,CGCG 134-51              ,223.63177599999997,24.027273,0.7820076381324546
ECO04889,226.735,12.8469,NGC 5852                 ,226.73507200000003,12.846833,0.3493431277320006
ECO06881,228.008,32.9154,IRAS 15100+3306          ,228.008615,32.915358000000005,1.8647355715671174
ECO04922,228.773,43.1506,MCG 7-31-047             ,228.77315299999998,43.150559,0.42809104684904625
ECO12140,229.6,23.9246,SDSS J151823.91+235528.4 ,229.59966200000002,23.924561999999998,1.1206338015106116
ECO04961,232.053,42.93,NGC 5934                 ,232.053241,42.929924,0.6916599874778853
ECO04970,232.438,42.9186,NGC 5945                 ,232.437573,42.918667,1.151274625662483
ECO05006,234.66,36.9583,MCG 6-34-024             ,234.66042099999999,36.958355,1.22715394087324
ECO05014,234.992,21.4706,NGC 5975                 ,234.99145,21.470648,1.8506835068326293
ECO02398,235.72,15.1752,SDSS J154253.19+151028.3 ,235.72163999999998,15.174553,6.15580392370166
ECO10361,235.902,43.9804,SDSS J154336.59+435849.2 ,235.902459,43.980337,1.210467396851726
ECO09981,237.136,8.588,IRASF 15461+0844         ,237.135825,8.587928,0.6747105076188767
ECO05054,237.445,12.3992,IC 1141                  ,237.44558700000002,12.399336,2.1211862783922752
