name,lgm_tot_p50,sfr_tot_p50
1237650000000000000.00,10.56,-9999.00
1237660000000000000.00,10.96,-0.79
1237670000000000000.00,10.11,-0.71
1237660000000000000.00,10.44,-9999.00
1237670000000000000.00,10.05,0.12
1237660000000000000.00,10.57,0.14
1237650000000000000.00,11.48,1.15
1237670000000000000.00,10.06,0.94
1237660000000000000.00,11.41,-0.68
1237660000000000000.00,11.14,1.15
1237660000000000000.00,10.86,-0.46
1237650000000000000.00,10.80,0.28
1237650000000000000.00,10.32,-1.24
1237660000000000000.00,10.30,-1.09
1237670000000000000.00,11.44,-0.87
1237670000000000000.00,11.49,-1.12
1237660000000000000.00,10.99,1.27
1237670000000000000.00,10.73,0.70
1237670000000000000.00,10.05,0.09
1237670000000000000.00,11.00,-0.06
1237670000000000000.00,10.54,0.80
1237670000000000000.00,9.48,-0.77
1237660000000000000.00,10.89,-1.25
1237660000000000000.00,10.64,-0.10
1237670000000000000.00,11.29,0.68
1237670000000000000.00,10.62,-1.41
1237670000000000000.00,10.76,-1.73
1237670000000000000.00,10.79,-1.58
1237670000000000000.00,10.32,-1.59
1237670000000000000.00,10.49,-1.29
1237670000000000000.00,9.63,0.14
1237670000000000000.00,10.50,-1.63
1237670000000000000.00,10.45,-1.78
1237670000000000000.00,10.73,-1.24
1237670000000000000.00,10.09,0.67
1237660000000000000.00,11.11,0.95
1237670000000000000.00,10.55,-1.41
1237670000000000000.00,10.50,-1.80
1237670000000000000.00,11.22,-1.23
1237670000000000000.00,11.21,-0.84
1237670000000000000.00,10.57,-1.57
1237670000000000000.00,10.74,-1.03
1237670000000000000.00,11.18,-0.36
1237670000000000000.00,10.80,-1.42
1237670000000000000.00,11.18,-0.72
1237670000000000000.00,11.08,-0.46
1237670000000000000.00,9.82,-0.73
1237670000000000000.00,10.43,-0.97
1237650000000000000.00,11.45,-0.64
1237650000000000000.00,10.74,-0.68
1237650000000000000.00,10.98,-0.46
1237650000000000000.00,10.87,0.07
1237650000000000000.00,11.04,-1.28
1237670000000000000.00,11.50,-0.89
1237650000000000000.00,11.07,-1.48
1237670000000000000.00,10.29,-0.03
1237670000000000000.00,11.01,-1.63
1237660000000000000.00,10.68,-0.22
1237670000000000000.00,10.65,-1.05
1237670000000000000.00,10.51,-1.07
1237650000000000000.00,11.24,-1.37
1237650000000000000.00,11.10,-1.47
1237650000000000000.00,11.15,0.42
1237660000000000000.00,11.41,-0.79
1237670000000000000.00,10.98,0.35
1237670000000000000.00,10.73,-1.56
1237670000000000000.00,10.91,0.76
1237670000000000000.00,10.82,-1.60
1237670000000000000.00,10.64,-1.00
1237670000000000000.00,10.99,-1.05
1237650000000000000.00,10.28,-0.73
1237660000000000000.00,9.84,-0.46
1237670000000000000.00,10.97,-1.08
1237650000000000000.00,11.69,1.66
1237660000000000000.00,11.17,-0.83
1237670000000000000.00,10.55,0.07
1237660000000000000.00,10.92,-0.26
1237670000000000000.00,10.76,0.01
1237670000000000000.00,11.06,-0.20
1237670000000000000.00,10.94,0.84
1237660000000000000.00,10.40,0.17
1237660000000000000.00,10.49,-0.28
1237660000000000000.00,10.80,-1.14
1237670000000000000.00,11.26,-0.92
1237670000000000000.00,11.68,-0.84
1237660000000000000.00,11.53,-1.13
1237660000000000000.00,11.57,-0.87
1237670000000000000.00,11.46,-0.56
1237660000000000000.00,10.53,-1.42
1237660000000000000.00,10.69,-1.52
1237650000000000000.00,10.44,-2.03
1237650000000000000.00,11.05,-0.91
1237650000000000000.00,10.22,0.05
1237650000000000000.00,11.63,-0.86
1237650000000000000.00,10.66,-1.55
1237660000000000000.00,10.28,0.43
1237650000000000000.00,10.75,-1.43
1237650000000000000.00,10.22,0.26
1237670000000000000.00,10.68,0.96
1237660000000000000.00,11.10,0.43
1237670000000000000.00,10.38,0.44
1237670000000000000.00,10.28,-1.07
1237670000000000000.00,11.00,-0.95
1237660000000000000.00,10.76,0.46
1237660000000000000.00,10.08,0.21
1237660000000000000.00,10.96,0.59
1237660000000000000.00,11.21,-1.50
1237660000000000000.00,11.25,-1.13
1237660000000000000.00,10.89,-1.03
1237660000000000000.00,11.20,0.09
1237660000000000000.00,11.30,-0.41
1237650000000000000.00,10.47,-9999.00
1237660000000000000.00,10.92,-0.50
1237660000000000000.00,10.87,0.31
1237660000000000000.00,11.01,-1.31
1237660000000000000.00,10.63,1.27
1237670000000000000.00,10.75,-1.53
1237670000000000000.00,10.19,-0.43
1237660000000000000.00,10.91,0.39
1237670000000000000.00,10.98,-1.30
1237660000000000000.00,8.88,-0.41
1237660000000000000.00,10.54,-0.21
1237660000000000000.00,10.61,-1.32
1237660000000000000.00,10.88,-1.37
1237660000000000000.00,10.70,-0.30
1237660000000000000.00,11.14,-1.26
1237650000000000000.00,11.07,-1.49
1237660000000000000.00,11.29,-0.87
1237660000000000000.00,10.64,-0.47
1237660000000000000.00,10.44,-1.75
1237650000000000000.00,11.14,-0.66
1237670000000000000.00,10.45,-1.32
1237650000000000000.00,11.24,-0.39
1237670000000000000.00,11.13,-1.12
1237650000000000000.00,10.50,-1.51
1237650000000000000.00,11.18,-0.77
1237650000000000000.00,10.84,0.72
1237660000000000000.00,10.77,-1.44
1237650000000000000.00,10.97,-0.90
1237660000000000000.00,11.40,0.75
1237650000000000000.00,10.48,0.00
1237660000000000000.00,10.43,0.39
1237660000000000000.00,11.15,-0.15
1237670000000000000.00,11.08,0.65
1237660000000000000.00,11.04,0.69
1237650000000000000.00,10.95,-1.20
1237670000000000000.00,10.93,-1.44
1237670000000000000.00,11.36,-0.90
1237660000000000000.00,11.21,0.17
1237660000000000000.00,10.89,0.05
1237650000000000000.00,11.02,-1.28
1237650000000000000.00,10.87,-1.46
1237650000000000000.00,11.85,-0.95
