#sdss_objids,ra ,dec,nii/ha,oiii/hb
,,,,
1.23765E+18,150.03976,1.615315,-0.0931782,0.1927284
,,,,
1.23765E+18,150.06567,2.929334,-0.0495193,0.2374587
,,,,
1.23765E+18,150.37261,1.609364,-0.1417802,0.4318933
,,,,
1.23765E+18,150.45143,1.561052,0.1087142,0.1701187
,,,,
1.23766E+18,150.65226,32.706758,-0.0558929,0.2024364
,,,,
1.23766E+18,150.77107,33.047261,-0.2928558,-0.0877928
,,,,
1.23766E+18,150.86637,55.698314,-0.1014152,1.0240201
,,,,
1.23766E+18,153.10164,53.34124,-0.1096431,-0.271313
,,,,
1.23766E+18,153.19415,6.267974,-0.21333,-0.0665857
,,,,
1.23767E+18,154.43013,21.849771,-0.068018,0.5575996
,,,,
1.23765E+18,154.45268,-0.030765,-0.4364379,0.1013631
,,,,
1.23766E+18,154.48708,39.091103,-0.3202721,0.5437774
,,,,
1.23765E+18,154.52778,0.099949,0.1486073,0.655723
,,,,
1.23765E+18,156.0855,3.986628,-0.3863034,-0.3668937
,,,,
1.23765E+18,156.0925,0.465427,-0.4045773,-0.6504388
,,,,
1.23766E+18,156.3447,12.539737,-0.2204638,1.0219052
,,,,
1.23766E+18,156.48893,38.87147,-0.0340653,0.5066522
,,,,
1.23766E+18,156.49162,12.685667,0.3647172,0.2382257
,,,,
1.23766E+18,156.58851,12.745945,-0.2689335,-0.1090495
,,,,
1.23767E+18,157.75754,30.861977,-0.0038725,0.1378772
,,,,
1.23766E+18,159.25568,41.829511,-0.2582437,0.2086493
,,,,
1.23766E+18,159.33603,41.871292,-0.4935708,-0.5591664
,,,,
1.23766E+18,159.37422,41.872696,0.1961258,-0.1013341
,,,,
1.23765E+18,159.63095,58.785421,-0.3715006,0.1042823
,,,,
1.23765E+18,159.70786,1.805794,-0.2228682,-0.3649893
,,,,
1.23765E+18,160.14433,-0.909413,0.1261804,0.3489239
,,,,
1.23766E+18,160.18201,39.796488,0.0847079,0.453627
,,,,
1.23767E+18,161.83566,15.25101,0.0168956,-0.0127683
,,,,
1.23767E+18,162.83523,33.960968,-0.3499174,-0.5538996
,,,,
1.23766E+18,162.85703,57.59558,-0.1544148,0.0382238
,,,,
1.23767E+18,163.02331,34.095486,0.0010207,0.6913172
,,,,
1.23766E+18,163.09803,44.146575,-0.1389218,0.0895195
,,,,
1.23766E+18,164.28208,6.914958,-0.0744174,0.5094
,,,,
1.23766E+18,164.31267,57.757458,-0.1293623,-0.1105131
,,,,
1.23765E+18,168.35195,2.464842,-0.1810313,0.4348064
,,,,
1.23766E+18,168.45725,9.586292,-0.0534768,0.4742464
,,,,
1.23767E+18,169.24263,17.813729,0.1561343,0.2649737
,,,,
1.23767E+18,169.26491,17.744716,0.0567278,0.7611102
,,,,
1.23767E+18,172.14122,17.28465,0.0559248,0.0566022
,,,,
1.23766E+18,173.49681,49.062052,-0.0246151,0.0662028
,,,,
1.23766E+18,173.53756,49.254561,-0.2821382,1.054938
,,,,
1.23766E+18,173.69398,48.956115,0.0287473,0.5046909
,,,,
1.23766E+18,173.70542,49.077636,-0.1322511,0.1725723
,,,,
1.23766E+18,173.87236,49.106964,0.2577194,0.5693017
,,,,
1.23766E+18,173.9332,49.037633,-0.0824952,0.1867887
,,,,
1.23766E+18,174.03108,49.07686,-0.1608957,-0.4894831
,,,,
