name,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
1.23766E+18,28.94057,6.916856,54.47517,7.459692,17.31985,3.790033,8.417307,3.38743,19.11005,3.582007,-6.182202,3.429853,25.0625,3.531445,13.23386,3.708698,53.35455,4.085234,-0.2192314,3.157721,13.3333,3.311353,32.2827,1.340341,61.73837,3.962376,97.37207,4.042772,30.77409,3.815365,25.43094,3.785703,-3.645828,3.561997,82.3748,66.06645,48.98674,4.175507,0,0,69.59455,22.10447,71.96122,22.34856,13.78483,8.606085,13.82089,9.699821,20.4312,7.719272,0,0,4.373313,9.584268,0,0,33.77014,7.773039,23.90611,2.900279,68.30318,8.28651,2.870865,27.74477,18.36757,7.780105,45.2908,3.198865,81.51411,9.533285,133.2082,9.408426,40.50467,10.69249,30.41159,8.528798
1.23767E+18,28.90091,4.465846,28.97171,4.540392,1.817891,2.743595,5.787138,2.38391,12.69974,2.276647,-0.545443,2.265723,28.17504,2.793801,12.18904,3.086052,36.98287,3.219896,0.6227817,2.079622,11.05623,2.67601,26.30946,1.089296,142.5115,4.114701,79.3554,3.285564,22.48336,3.415534,16.49032,2.647003,2.291051,3.506506,57.24538,36.35802,41.42088,4.218462,0,0,0,0,207.6436,20.51453,8.803462,10.76365,15.63114,15.95958,31.81355,12.57039,0,0,0,0,0,0,64.35003,10.81881,37.2004,5.174978,106.2869,14.78565,5.257693,8.107644,21.58279,9.012853,62.20109,4.339326,297.5665,17.95731,182.9444,12.76272,46.46193,10.82577,31.1782,8.694527
1.23767E+18,897184,174207.8,-59113.14,9010.526,274.13,10.43631,145.5686,10.18471,245.254,11.53282,24.69071,11.61444,468.7243,15.23209,219.5953,15.25387,855.3395,18.00089,19.31345,13.66202,692.5534,20.9858,1002.392,11.47301,1721.739,31.77699,3023.445,34.60522,1400.481,28.38505,1244.723,27.47492,2.468184,18.76741,1980.901,612.7141,914.1371,20.77446,0,0,3576.509,18970.57,4393.638,20594.9,669.5137,48.3846,532.8647,55.35682,848.4471,68.01581,117.0018,55.80203,0,0,0,0,1395.28,69.66599,775.9143,24.87071,2216.898,71.05917,92.21881,37.98548,1370.543,67.71045,2074.826,41.31036,3295.423,102.6906,6102.43,121.501,2379.906,110.3215,2533.249,122.373
1.23766E+18,32.2011,5.97347,43.84494,6.203766,10.13579,3.383943,4.946746,3.270893,15.51846,3.358026,1.847699,3.538507,35.32637,3.574088,9.406131,3.65975,33.32756,3.976013,1.546662,3.875401,15.98622,4.119955,40.20956,1.588103,166.139,5.196028,121.2813,4.790079,27.84778,5.596571,24.37433,4.275453,-5.693899,4.119031,71.74598,29.26378,35.6311,7.138854,0,0,21.33695,0,205.6053,291.4172,17.20718,11.013,38.64708,19.33101,72.48584,17.94927,0,0,1.943025,27.45085,0,0,130.8196,17.82119,28.74504,5.755256,82.1287,16.44359,0.8471437,52.68351,23.34546,11.26851,76.64977,4.870379,284.2828,14.57994,225.4405,14.32464,47.63762,9.94245,32.62143,11.25955
1.23767E+18,0,-0.7512997,0,-0.7512997,5.30907,7.282057,24.78457,9.170748,26.39301,11.00017,-13.51751,9.990447,78.18828,10.77497,20.14384,10.89577,140.8653,11.40813,-30.02861,11.3608,25.46772,13.0328,114.4774,5.55902,224.3062,16.51748,345.2903,16.76727,115.7567,14.48162,58.9767,14.21776,-17.90565,13.62144,0,1.062498,165.1706,14.92271,0,0,0,0,2164.802,0,7.468238,26.10357,10.33508,29.96726,9.264892,53.30761,0,0,0,0,0,0,45.67021,18.01183,24.42873,6.310038,69.79638,18.02868,0,0,21.95032,24.17499,96.43377,6.363475,161.4886,20.37193,283.6287,18.7161,94.68158,20.71701,61.01248,23.0743
1.23766E+18,-1.840325,4.495854,11.8755,4.692773,-0.4339454,3.618563,-1.311099,9.711148,14.34557,10.16137,-2.661105,4.190402,35.27009,11.1156,5.212637,4.535509,12.4054,4.514602,-99.72365,11.95168,12.59288,5.228877,8.620951,2.010639,97.35325,14.19926,26.00278,6.064545,14.61975,5.383748,3.193533,5.210402,-6.059326,5.028784,-3.630282,47.56532,14.95408,4.802754,0,0,21.96623,15.35399,35.7903,15.95557,1.41963,32.71304,0,0,5.296757,19.67884,5.289626,29.51956,1.933667,130.0325,0,0,7.010187,21.97727,2.679504,5.953526,7.655726,17.01007,0,0,14.47388,14.559,16.07363,4.368729,40.94444,14.63081,47.27539,12.8492,16.82067,15.35761,7.82556,50.32717
1.23765E+18,137.2965,9.56263,113.9239,9.029675,71.2553,5.138863,14.87018,3.816473,47.20586,3.988244,6.896486,3.879886,99.64761,4.367395,257.5199,5.690604,774.1711,8.719613,11.94727,4.235018,77.53311,4.644489,258.5677,2.787721,428.8329,7.227829,779.9001,8.408402,193.6294,5.639306,154.2291,5.526557,35.97039,5.03114,264.1225,69.54874,769.4906,8.709469,0,0,0,0,921.7407,50.2985,186.5605,21.09318,56.13769,17.23949,129.0856,17.89436,19.65092,20.90537,4.664151,23.19375,2.315146,1108.861,273.9298,23.82552,609.4162,9.874737,1741.189,28.21354,39.80828,16.41938,151.7102,15.81899,565.3511,8.934483,911.8369,25.26751,1662.797,26.27789,393.2529,20.83781,291.3347,17.29574
1.23766E+18,50.63012,6.95826,81.21529,7.322356,29.65244,3.740775,-2.858417,3.083744,14.49873,2.964361,-2.41342,3.183665,42.12349,3.189253,118.4683,4.247279,364.27,5.939001,6.420594,3.202703,33.03602,3.156329,71.34893,1.408245,189.6353,4.32381,215.2048,4.247588,63.93374,4.163723,65.83576,3.607488,7.52837,3.607663,133.6346,69.11421,368.4143,6.096485,0,0,94.82528,1945.631,432.3026,1094.718,73.60062,21.19817,0,0,65.75208,15.60995,5.633049,17.99352,5.209719,23.02563,0,0,151.9324,17.75095,361.1369,10.07583,1031.82,28.78808,29.46911,13.08114,81.42496,14.68296,178.6851,5.637892,468.3089,17.15457,525.5445,16.58204,140.9329,16.71513,149.0918,18.13804
1.23767E+18,143.3655,6.322576,185.9788,6.480021,55.92898,3.812244,21.01677,3.441067,75.91897,3.472911,13.70325,2.983535,233.9051,4.15885,152.6542,3.622834,476.7604,5.393861,44.32553,2.696495,40.32988,2.491967,257.4249,1.805755,1198.75,8.028516,776.4528,5.446568,152.5799,3.64877,131.8694,3.522395,16.43115,2.877675,315.8696,14.97082,481.4046,5.413726,0,0,1135.793,1451.086,454.2747,1095.692,267.2396,31.96696,251.2254,24.09314,435.9696,31.42227,98.66677,53.9158,61.50641,18.11996,0,0,919.2826,40.55265,533.5797,20.05453,1524.513,57.29867,116.5134,14.88642,94.61256,10.22569,715.4049,19.65528,3146.101,80.50339,2104.132,57.80964,383.5915,17.27322,315.1223,14.76737
1.23766E+18,39.21632,4.268419,17.83363,4.049691,14.6707,2.664776,7.389588,2.427485,12.34426,2.18397,-1.862555,2.25796,29.82566,2.957481,56.23458,4.055418,187.8833,3.445252,5.385391,1.945462,16.64942,2.420731,36.84399,1.204241,101.5726,4.30863,111.13,3.632264,33.89787,3.181601,19.67931,4.940307,-0.9961175,3.39247,64.09406,158.3493,190.7878,3.58444,0,0,200.4527,161.7987,46.95595,159.2372,36.40321,13.1929,16.36413,8.082247,35.67246,11.17918,0,0,10.07441,7.816836,0,0,99.83147,19.83247,181.3498,7.167042,518.1424,20.47726,20.59492,11.06185,38.13553,9.626069,81.74449,4.62988,229.2708,14.36749,240.425,13.61729,66.14839,11.00819,49.46592,15.61232
