,name,ra ,dec
289,1237670000000000000.00,176.49482,19.529025
291,1237670000000000000.00,176.55077,20.391647
293,1237670000000000000.00,178.90194,23.236492
295,1237650000000000000.00,180.95501,2.099174
297,1237650000000000000.00,181.02495,1.846994
299,1237670000000000000.00,181.18834,31.192476
301,1237660000000000000.00,181.84069,52.590148
303,1237660000000000000.00,182.08302,45.796847
305,1237660000000000000.00,182.17421,43.89121
307,1237660000000000000.00,182.98411,13.437878
309,1237660000000000000.00,183.04171,50.472496
311,1237660000000000000.00,183.17181,36.748977
313,1237650000000000000.00,183.39903,2.810445
315,1237660000000000000.00,183.46189,14.152614
317,1237660000000000000.00,184.05854,7.133831
319,1237660000000000000.00,184.09871,52.733311
321,1237650000000000000.00,184.30644,3.281401
323,1237660000000000000.00,184.30795,7.517427
325,1237660000000000000.00,184.44452,3.911284
327,1237660000000000000.00,184.66417,47.107684
329,1237670000000000000.00,184.80043,29.908902
331,1237650000000000000.00,185.0486,5.800547
333,1237660000000000000.00,185.46532,46.261942
335,1237660000000000000.00,185.77779,10.621257
337,1237660000000000000.00,185.99109,7.408276
339,1237660000000000000.00,186.27653,7.401673
341,1237650000000000000.00,186.28565,5.263051
343,1237660000000000000.00,186.4419,12.883607
345,1237670000000000000.00,186.47311,4.850731
347,1237660000000000000.00,186.77815,8.020397
349,1237670000000000000.00,186.78693,31.395463
351,1237660000000000000.00,187.49774,13.518277
353,1237650000000000000.00,187.88081,64.238408
355,1237670000000000000.00,187.98263,20.059561
357,1237660000000000000.00,188.07843,12.236557
359,1237660000000000000.00,188.24486,12.45814
361,1237660000000000000.00,188.25883,12.154036
363,1237650000000000000.00,188.42647,2.136935
365,1237650000000000000.00,188.82381,-0.2656
367,1237660000000000000.00,189.54114,9.49735
369,1237670000000000000.00,190.25139,18.553901
371,1237670000000000000.00,190.28997,18.503958
373,1237660000000000000.00,190.40094,61.678731
375,1237670000000000000.00,190.75831,2.90374
377,1237670000000000000.00,190.93534,16.785519
379,1237670000000000000.00,191.06345,16.897487
381,1237670000000000000.00,191.59583,0.477751
383,1237670000000000000.00,192.06346,17.774016
385,1237660000000000000.00,192.63264,41.038856
387,1237660000000000000.00,192.70895,41.1918
389,1237670000000000000.00,193.97461,27.254929
391,1237670000000000000.00,194.37497,28.188071
393,1237670000000000000.00,194.38682,27.610346
395,1237670000000000000.00,194.3994,27.493236
397,1237670000000000000.00,194.55751,28.182548
399,1237670000000000000.00,194.59096,27.967782
401,1237670000000000000.00,194.65533,27.176604
403,1237670000000000000.00,194.70302,27.810429
405,1237670000000000000.00,194.7831,27.854968
407,1237670000000000000.00,194.83094,31.277786
409,1237670000000000000.00,194.8329,31.316139
411,1237660000000000000.00,194.85795,59.068215
413,1237670000000000000.00,194.89217,27.946841
415,1237670000000000000.00,194.94283,31.457374
417,1237670000000000000.00,194.96664,31.351747
419,1237670000000000000.00,195.0747,28.2024
421,1237670000000000000.00,195.17815,27.971266
423,1237670000000000000.00,195.2027,28.090731
425,1237670000000000000.00,195.23357,27.790872
427,1237670000000000000.00,195.3233,27.809092
429,1237670000000000000.00,195.40808,27.591197
431,1237670000000000000.00,195.4899,28.005844
433,1237670000000000000.00,195.50057,27.782728
435,1237670000000000000.00,195.59025,28.25598
437,1237650000000000000.00,195.66805,67.477994
439,1237650000000000000.00,195.73564,-2.491735
441,1237650000000000000.00,195.75909,-2.456466
443,1237650000000000000.00,195.78102,-2.365318
445,1237650000000000000.00,197.80665,-1.539984
447,1237670000000000000.00,197.86805,22.069979
449,1237650000000000000.00,197.99812,-1.135076
451,1237670000000000000.00,200.14753,34.139328
453,1237670000000000000.00,200.93758,31.565758
455,1237660000000000000.00,200.95188,43.301187
457,1237670000000000000.00,201.36618,7.697027
459,1237670000000000000.00,201.57216,7.929453
461,1237650000000000000.00,201.68112,1.13769
463,1237650000000000000.00,201.73743,1.198505
465,1237650000000000000.00,202.60597,1.494693
467,1237660000000000000.00,202.67712,58.465507
469,1237670000000000000.00,203.95103,2.998927
471,1237670000000000000.00,205.15107,30.318034
473,1237670000000000000.00,205.27492,-0.817395
475,1237670000000000000.00,206.94115,26.337792
477,1237670000000000000.00,207.01872,26.678999
479,1237670000000000000.00,207.36148,26.461894
481,1237650000000000000.00,208.65126,5.256814
483,1237660000000000000.00,209.60932,37.452412
485,1237670000000000000.00,210.19407,2.79535
487,1237650000000000000.00,210.25863,2.878466
489,1237660000000000000.00,210.28074,-1.727994
491,1237670000000000000.00,210.67117,-0.190417
493,1237660000000000000.00,211.30898,43.439959
495,1237670000000000000.00,211.54835,22.316296
497,1237670000000000000.00,211.5593,28.394465
499,1237670000000000000.00,211.63632,22.325446
501,1237660000000000000.00,213.13184,43.9267
503,1237660000000000000.00,213.2068,-3.122485
505,1237660000000000000.00,213.59583,54.706503
507,1237670000000000000.00,213.7154,-0.293203
509,1237670000000000000.00,213.74054,-0.349616
511,1237660000000000000.00,213.86293,11.606218
513,1237660000000000000.00,214.22063,10.807418
515,1237670000000000000.00,214.23945,23.211815
517,1237660000000000000.00,216.03113,42.235701
